看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611207048.A.BC4.html,cipherpol9,"  36.226.19.117 01/21 13:33
",: 阿姨我..
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611207048.A.BC4.html,s820912gmail,"  49.216.50.105 01/21 13:34
",: 老在等
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611207048.A.BC4.html,Sayomgter," 36.237.119.173 01/21 13:44
",: 我可以!
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,crawford438,"  125.227.2.182 01/21 11:52
",: google了一下，其實不是牙醫，不過
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,crawford438,"  125.227.2.182 01/21 11:52
",: 在表特正就好了。
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,issemn," 111.242.171.58 01/21 11:58
",: 台灣也有個牙醫超美的 只記得姓劉
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,cink8,"   42.72.186.43 01/21 12:47
",: 樓上，我要怎麼接？
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,mvpdirk712,"   49.216.45.33 01/21 13:20
",: 人家是齒科衛生士啦，什麼牙醫
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611200664.A.DDE.html,Krishna,"114.136.196.156 01/21 13:59
",: 不要騙我喔，這不是椎名空嗎
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611199954.A.05F.html,td770715,"223.140.203.181 01/21 11:32
",: 關了濾鏡再來
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611199954.A.05F.html,cms6384,"  220.138.31.68 01/21 11:35
",: 塑塑子
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611199954.A.05F.html,james0146," 180.217.63.123 01/21 11:39
",: plastic
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,i689tw,"   111.71.80.14 01/21 11:00
",: 你是裝的  你還是要去上課
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,a10152000," 111.82.118.100 01/21 11:13
",: 只剩下顏值了
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,soulknight," 114.25.166.159 01/21 11:25
",: 嘔...
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,icq7584,"   27.246.3.116 01/21 11:37
",: 到底？
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,YesNoter,"   42.76.199.71 01/21 12:01
",: 以為帥我就會推嗎
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,cink8,"   42.72.186.43 01/21 12:51
",: http://i.imgur.com/rv7L3Ud.jpg
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,jacky8336,"  39.10.166.125 01/21 12:55
",: 好了啦
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,bbcumback2me," 222.148.252.61 01/21 13:32
",: 不要亂貼奇怪的東西
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,aaron1001,"223.141.240.133 01/21 13:41
",: 嘔嘔嘔
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,Ommmmmmmmmm," 114.137.139.25 01/21 13:46
",: 好笑嗎
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,aa474747,"  114.45.13.253 01/21 13:55
",: 走下坡了
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611197619.A.B1C.html,leo911344,"  114.39.18.124 01/21 14:04
",: 噓的都倒讚幫，董神沒有輸：(
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611196964.A.358.html,jordan90807,"  42.73.118.145 01/21 10:46
",: you’re fired
